578080,Survival,Shooter,Multiplayer,PvP,FPS,Third-Person Shooter,Action,Online Co-Op,Tactical,Battle Royale,Co-op,Early Access,First-Person,Violent,Strategy,Third Person,Competitive,Team-Based,Difficult,Simulation
570,Free to Play,MOBA,Strategy,Multiplayer,Team-Based,Action,e-sports,Online Co-Op,Competitive,PvP,RTS,Difficult,RPG,Fantasy,Tower Defense,Co-op,Character Customization,Replay Value,Action RPG,Simulation
730,FPS,Multiplayer,Shooter,Action,Team-Based,Competitive,Tactical,First-Person,e-sports,PvP,Online Co-Op,Military,Co-op,Strategy,War,Trading,Difficult,Realistic,Fast-Paced,Moddable
622590
359550,FPS,Multiplayer,Tactical,Action,Shooter,Team-Based,First-Person,Co-op,Strategy,Realistic,Online Co-Op,Competitive,Destruction,Atmospheric,Physics,Horror,Singleplayer,Massively Multiplayer,Simulation,Casual
271590,Open World,Action,Multiplayer,Third Person,First-Person,Crime,Adventure,Shooter,Third-Person Shooter,Singleplayer,Racing,Mature,Atmospheric,Sandbox,Co-op,Funny,Great Soundtrack,Comedy,Moddable,RPG
238960,Free to Play,Action RPG,RPG,Hack and Slash,Multiplayer,Massively Multiplayer,Action,Loot,Fantasy,Adventure,Indie,MMORPG,Dungeon Crawler,Online Co-Op,Co-op,Character Customization,PvE,Dark Fantasy,Inventory Management,Fishing
230410,Free to Play,Action,Co-op,Multiplayer,Third-Person Shooter,Sci-fi,Ninja,Shooter,Parkour,Space,Online Co-Op,Futuristic,Third Person,Massively Multiplayer,PvE,RPG,Singleplayer,Hack and Slash,FPS,Cyberpunk
440,Free to Play,Multiplayer,FPS,Action,Shooter,Class-Based,Team-Based,Funny,First-Person,Trading,Cartoony,Competitive,Online Co-Op,Co-op,Robots,Comedy,Tactical,Crafting,Cartoon,Moddable
252950,Multiplayer,Racing,Soccer,Sports,Competitive,Team-Based,Online Co-Op,Football,Action,Co-op,Fast-Paced,Local Multiplayer,Great Soundtrack,Funny,Split Screen,Local Co-Op,Singleplayer,4 Player Local,Casual,Indie
252490,Survival,Crafting,Multiplayer,Open World,Sandbox,Building,PvP,Adventure,First-Person,Action,FPS,Nudity,Indie,Early Access,Co-op,Shooter,Online Co-Op,Simulation,Post-apocalyptic,Survival Horror
624090,Sports,Simulation,Management,Soccer,Football,Strategy,Multiplayer,Singleplayer
346110,Survival,Open World,Dinosaurs,Multiplayer,Crafting,Building,Adventure,Base-Building,Co-op,Action,First-Person,Early Access,Sandbox,Massively Multiplayer,Singleplayer,Dragons,RPG,Sci-fi,MMORPG,Indie
4000,Sandbox,Multiplayer,Funny,Moddable,Building,Co-op,Comedy,First-Person,Mod,Simulation,Online Co-Op,FPS,Physics,Singleplayer,Action,Indie,Shooter,Animation & Modeling,Adventure,Massively Multiplayer
8930,Turn-Based Strategy,Strategy,Turn-Based,Multiplayer,Historical,4X,Singleplayer,Addictive,Hex Grid,Grand Strategy,Replay Value,Co-op,Tactical,Economy,Diplomacy,Moddable,Simulation,Great Soundtrack,Classic,Touch-Friendly
218620,Co-op,Action,FPS,Heist,Online Co-Op,Multiplayer,Stealth,Crime,Team-Based,Shooter,First-Person,Great Soundtrack,Gun Customization,Tactical,PvE,Strategy,Singleplayer,Simulation,Funny,Adventure
227300,Simulation,Driving,Open World,Realistic,Relaxing,Singleplayer,Moddable,Exploration,First-Person,Economy,Adventure,Indie,Atmospheric,Management,TrackIR,Casual,Sandbox,Racing,Action,RPG
107410,Simulation,Military,Multiplayer,Open World,Realistic,Tactical,Action,FPS,War,Strategy,Sandbox,Shooter,Co-op,Moddable,Team-Based,Online Co-Op,Third-Person Shooter,Singleplayer,First-Person,TrackIR
365590,Open World,Multiplayer,Third-Person Shooter,Action,Shooter,Co-op,RPG,Post-apocalyptic,Online Co-Op,Survival,Massively Multiplayer,Tactical,Third Person,MMORPG,Adventure,Singleplayer,Atmospheric,Stealth,FPS,Sandbox
433850,Survival,Massively Multiplayer,Multiplayer,Open World,PvP,FPS,Action,Shooter,Third-Person Shooter,Zombies,Early Access,Free to Play,Battle Royale,Co-op,Online Co-Op,Adventure,First-Person,Violent,Gore,Walking Simulator
377160,Open World,Post-apocalyptic,Exploration,Singleplayer,RPG,Atmospheric,Adventure,Shooter,First-Person,Story Rich,Action,Sci-fi,FPS,Action RPG,Great Soundtrack,Sandbox,Third Person,Third-Person Shooter,Survival,Casual
289070,Strategy,Turn-Based Strategy,Historical,Multiplayer,Singleplayer,Turn-Based,Grand Strategy,4X,War,Simulation,Tactical,Great Soundtrack,Moddable,Online Co-Op,Co-op,City Builder,Hex Grid,Building,Management,Atmospheric
444090,Free to Play,Multiplayer,FPS,Shooter,Action,Team-Based,First-Person,MOBA,PvP,Online Co-Op,Early Access,Fantasy,Strategy,Co-op,Massively Multiplayer,Funny,Adventure,Survival,Anime,Memes
105600,Sandbox,Adventure,Survival,2D,Multiplayer,Crafting,Building,Exploration,Pixel Graphics,Co-op,Open World,Indie,Action,RPG,Online Co-Op,Singleplayer,Platformer,Replay Value,Atmospheric,Family Friendly
482730,Sports,Soccer,Simulation,Management,Football,Strategy,Tactical,Multiplayer,Singleplayer,Casual,Action,Free to Play
72850,Open World,RPG,Fantasy,Adventure,Moddable,Dragons,First-Person,Action,Medieval,Magic,Singleplayer,Story Rich,Great Soundtrack,Sandbox,Lore-Rich,Atmospheric,Character Customization,Action RPG,Third Person,Epic
304930,Free to Play,Survival,Zombies,Multiplayer,Open World,Adventure,Crafting,Action,First-Person,Co-op,Sandbox,Shooter,Post-apocalyptic,FPS,Singleplayer,Massively Multiplayer,Indie,Atmospheric,Casual,Early Access
